name,link
Engineering and Computer Science Association,http://ecaconcordia.ca/
Research Chair on Gambling,https://www.concordia.ca/research/lifestyle-addiction.html
Applied AI Institute,https://www.concordia.ca/research/applied-ai-institute.html
Centre for Engineering in Society,https://www.concordia.ca/ginacody/engineering-in-society.html
Computer Science and Software Engineering,https://www.concordia.ca/ginacody/computer-science-software-eng.html
Creative Arts Therapies,https://www.concordia.ca/finearts/creative-arts-therapies.html
engAGE: Centre for Research on Aging,https://www.concordia.ca/research/aging.html
Next-Generation Cities Institute,https://www.concordia.ca/research/cities-institute.html
Simone de Beauvoir Institute,https://www.concordia.ca/artsci/sdbi.html
Sustainability in the Digital Age,https://sustainabilitydigitalage.org/
Urban Studies,https://www.concordia.ca/academics/undergraduate/urban-planning-urban-studies.html
FOFA Gallery,https://www.concordia.ca/finearts/about/galleries-venues/fofa-gallery.html
Le Gym,https://www.concordia.ca/campus-life/recreation/le-gym.html
Zen Den,https://www.concordia.ca/health/cuwellness.html
Art Education,https://www.concordia.ca/finearts/art-education.html
Art History,https://www.concordia.ca/finearts/art-history.html
"Building, Civil and Environmental Engineering",https://www.concordia.ca/ginacody/building-civil-environmental-eng.html
Centre for Composites (CONCOM),https://www.concordia.ca/research/composites.html
Centre for Pattern Recognition and Machine Intelligence (CENPARMI),https://www.concordia.ca/research/cenparmi.html
Centre for Zero Energy Building Studies,https://www.concordia.ca/research/zero-energy-building.html
Chemical and Materials Engineering,https://www.concordia.ca/ginacody/chemical-materials-eng.html
Contemporary Dance,https://www.concordia.ca/finearts/dance.html
Design and Computation Arts,https://www.concordia.ca/finearts/design.html
Electrical and Computer Engineering,https://www.concordia.ca/ginacody/electrical-computer-eng.html
Faculty of Fine Arts,https://www.concordia.ca/finearts.html
Gina Cody School of Engineering and Computer Science,https://www.concordia.ca/ginacody.html
"Mechanical, Industrial and Aerospace Engineering",https://www.concordia.ca/ginacody/mechanical-industrial-aerospace-eng.html
Recreation and Athletics,https://www.concordia.ca/campus-life/recreation.html
Studio Arts,https://www.concordia.ca/finearts/studio-arts.html
Religions and Cultures,https://www.concordia.ca/artsci/religions-cultures.html
Enrolment Services / Office of the Registrar / Student Recruitment,https://www.concordia.ca/offices/registrar.html
Environmental Health and Safety,https://www.concordia.ca/campus-life/safety.html
Examinations Office,https://www.concordia.ca/students/exams.html
Human Resources,https://www.concordia.ca/hr.html
Office of Sustainability,https://www.concordia.ca/sustainability.html
Records Management and Archives (RMA) Office,https://www.concordia.ca/offices/archives.html
Senior non-credit program,https://www.concordia.ca/lifelong-learning/seniors.html
Study Hub,https://www.concordia.ca/students/success/superb-study-spots-at-concordia.html#study-spots
"Classics, Modern Languages and Linguistics",https://www.concordia.ca/artsci/cmll.html
Concordia Continuing Education,https://www.concordia.ca/cce.html
Mel Hoppenheim School of Cinema,https://www.concordia.ca/finearts/cinema.html
Theological Studies,https://www.concordia.ca/artsci/theology.html
District 3 Innovation Hub,https://www.concordia.ca/research/d3.html
Records Management and Archives (RMA) Research Room and Vault,https://www.concordia.ca/offices/archives.html
Education,https://www.concordia.ca/artsci/education.html
Music,https://www.concordia.ca/finearts/music.html
Theatre,https://www.concordia.ca/finearts/theatre.html
Access Centre for Students with Disabilities,https://www.concordia.ca/students/accessibility.html
Facilities Management,https://www.concordia.ca/offices/facilities.html
Financial Aid and Awards Office,https://www.concordia.ca/students/financial.html
Financial Services,https://www.concordia.ca/financial-services.html
Graduate Studies,https://www.concordia.ca/gradstudies.html
Health Services,https://www.concordia.ca/health/medical/clinic.html
Institute for Co-operative Education,https://www.concordia.ca/academics/co-op.html
International Students Office,https://www.concordia.ca/students/international.html
Office of the President and Vice-Chancellor,https://www.concordia.ca/about/administration-governance/president.html
"Office of the Provost and Vice-President, Academic",https://www.concordia.ca/provost.html
"Office of the Vice-President, Research, Innovation and Impact",https://www.concordia.ca/about/administration-governance/office-vp-research-graduate-studies.html
"Office of the Vice-President, Services and Sustainability",https://www.concordia.ca/about/administration-governance/office-vp-services-sustainability.html
Ombuds Office,https://www.concordia.ca/offices/ombuds.html
University Communications Services,https://www.concordia.ca/about/administration-governance/office-chief-communications-officer.html
Grey Nuns Garden,https://www.concordia.ca/maps/buildings/gg.html
"Philosophy (1175 St-Mathieu St.)
Philosophy",https://www.concordia.ca/artsci/philosophy.html
Concordia Daycare (1185 St-Mathieu St.),https://cpeconcordia.ca/
Concordia University Student Parents Centre (CUSP): 1175 St-Mathieu St.,https://www.concordia.ca/students/student-parents-centre.html
Grey Nuns Reading Room & Group Study Rooms (1190 Guy St.),https://www.concordia.ca/gradstudies/about/grey-nuns-grad-space.html
Residences,https://www.concordia.ca/students/housing/residences/grey-nuns.html
Summer accommodations,https://www.concordia.ca/summer/accommodations.html/greynunsresidence/
Concordia University Part-time Faculty Association (CUPFA),https://www.cupfa.org/en_CA/
Concordia Theatre,https://www.concordia.ca/arts/venues/db-clarke-theatre.html
Reggies,https://reggies.ca/
Sir George Williams University Alumni Auditorium,https://www.concordia.ca/maps/buildings/concordia-panoramas/h-h110.html
Economics,https://www.concordia.ca/artsci/economics.html
"Geography, Planning and Environment",https://www.concordia.ca/artsci/geography-planning-environment.html
Political Science,https://www.concordia.ca/artsci/polisci.html
School of Community and Public Affairs,https://www.concordia.ca/artsci/scpa.html
School of Irish Studies,https://www.concordia.ca/artsci/irish-studies.html
Sociology and Anthropology,https://www.concordia.ca/artsci/sociology-anthropology.html
Campus Safety and Prevention Services,https://www.concordia.ca/campus-life/security.html
Concordia Student Union (CSU),https://www.csu.qc.ca/
First Stop,https://www.concordia.ca/students/first-stop.html
Espace Franco,https://www.concordia.ca/fr/etudiants/espace-franco.html
IT Service Desk,https://www.concordia.ca/it.html
NouLa Black Student Centre,https://www.concordia.ca/students/noula.html
Office of Student Life and Engagement,https://www.concordia.ca/students/life/engagement.html
Otsenhákta Student Centre,https://www.concordia.ca/students/otsenhakta.html
Student Success Centre,https://www.concordia.ca/students/success.html
Welcome Crew Office,https://www.concordia.ca/students/new/mentoring.html
4TH SPACE,https://www.concordia.ca/next-gen/4th-space.html
J.A. De Sève Cinema,https://www.concordia.ca/it/cinemas/deseve-cinema.html
Leonard and Bina Ellen Art Gallery,https://ellengallery.concordia.ca/news/?lang=en
SHIFT Centre for Social Transformation,https://www.concordia.ca/about/shift.html
Centre for Interdisciplinary Studies in Society and Culture (CISSC),https://www.concordia.ca/artsci/cissc.html
Centre for the Study of Learning and Performance,https://www.concordia.ca/research/learning-performance.html
English,https://www.concordia.ca/artsci/english.html
Études françaises,https://www.concordia.ca/fr/arts-sciences/francais.html
History,https://www.concordia.ca/artsci/history.html
Mathematics and Statistics,https://www.concordia.ca/artsci/math-stats.html
Birks Student Service Centre,https://www.concordia.ca/students/birks.html
Concordia Book Stop,https://www.bkstr.com/concordiastore
Concordia Print Services,https://www.concordia.ca/print.html
Instructional and Information Technology Services (IITS),https://www.concordia.ca/it.html
R. Howard Webster Library,https://library.concordia.ca/locations/
Sexual Assault Resource Centre (SARC),https://www.concordia.ca/conduct/sexual-assault.html
Welcome Centre,https://www.concordia.ca/admissions/undergraduate/welcome-centre.html
CSU Daycare & Nursery,https://csudaycarenursery.ca/
Multi-Faith and Spirituality Centre,https://www.concordia.ca/equity/spirituality.html
Sustainable Concordia,https://www.instagram.com/sustainable_concordia
Concordia International,https://www.concordia.ca/offices/ci.html
VAV Gallery,https://www.vavgallery.ca/
CUTV,https://www.cutvmontreal.org/
Centre for Gender Advocacy,https://genderadvocacy.org/
Graduate Students Association,https://gsaconcordia.ca/
Arts and Science Research Groups,https://www.concordia.ca/artsci/research/centres.html
Liberal Arts College,https://www.concordia.ca/artsci/liberal-arts-college.html
Concordia University Library Employees' Union (CULEU),https://www.concordia.ca/hr/labour-agreements/culeu.html
Association of Concordia University Management and Administrative Employees (ACUMAE),https://www.concordia.ca/hr/labour-agreements/acumae.html
Concordia University Continuing Education Part-time Faculty Union (CUCEPTFU),https://www.concordia.ca/hr/labour-agreements/cuceptfu.html
Concordia University Professional Employee Union (CUPEU),https://www.concordia.ca/hr/labour-agreements/cupeu.html
Concordia University Support Staff Union (CSN),https://www.concordia.ca/hr/labour-agreements/cussu.html
The Concordia University Union of Support Staff – Technical Sector (CUUSS-TS),https://www.concordia.ca/hr/labour-agreements/cuuss-ts.html
Faculty of Arts and Science,https://www.concordia.ca/artsci.html
Centre for Teaching and Learning,https://www.concordia.ca/ctl.html
Counselling and Psychological Services,https://www.concordia.ca/health/mental-health/counselling.html
Loyola College for Diversity and Sustainability,https://www.concordia.ca/artsci/loyola-college-diversity-sustainability.html
Loyola Landing,https://www.concordia.ca/students/services/loyola.html
CPE Les P'tits Profs Daycare,http://lesptitsprofs.wordpress.com/
Loyola College for Diversity and Sustainability and Loyola,https://www.concordia.ca/artsci/loyola-college-diversity-sustainability.html
Communication Studies,https://www.concordia.ca/artsci/coms.html
Journalism,https://www.concordia.ca/artsci/journalism.html
Concordia Stingers,https://stingers.ca/
Loyola Chapel,https://www.concordia.ca/hospitality/venues/loyola-chapel.html
Centre for Structural and Functional Genomics,https://www.concordia.ca/research/genomics.html
Loyola Student Residence,https://www.concordia.ca/students/housing/residences/loyola-residences.html
Concordia University Faculty Association (CUFA),https://cufa.net/
Athletic Therapy Clinic,https://www.concordia.ca/schoolofhealth/for-public/assessment-rehabilitation.html
Nutrition Centre,https://www.concordia.ca/schoolofhealth/for-public/nutrition.html
PERFORM Gym,https://www.concordia.ca/schoolofhealth/for-public/gym-fitness-classes.html
School of Health,https://www.concordia.ca/schoolofhealth.html
Concert Hall,https://www.concordia.ca/arts/venues/oscar-peterson.html
Centre for Clinical Research in Health (CCRH),https://www.concordia.ca/research/clinical-research-health.html
Psychology,https://www.concordia.ca/artsci/psychology.html
Concordia Stadium,https://www.concordia.ca/campus-life/recreation/facilities/athletic-complex.html
Ed Meagher Arena,https://www.concordia.ca/campus-life/recreation/facilities/arena.html
Gymnasium,https://www.concordia.ca/campus-life/recreation/facilities/athletic-complex.html
Conference services,https://www.concordia.ca/hospitality.html
Loyola Jesuit Hall and Conference Centre,https://www.concordia.ca/hospitality/venues/loyola-jesuit-hall-conference-centre.html
Cafeteria,https://www.concordia.ca/campus-life/food-services/places-to-eat/buzz-dining-hall.html
Café,https://hivecafe.ca/
Food Services,https://www.concordia.ca/students/housing/residences.html
Science College,https://www.concordia.ca/artsci/science-college.html
Biology,https://www.concordia.ca/artsci/biology.html
Centre for Biological Applications of Mass Spectrometry,https://www.concordia.ca/research/mass-spec.html
Centre for NanoScience Research,https://www.concordia.ca/research/nanoscience.html
Centre for Research in Molecular Modeling,https://www.concordia.ca/research/molecular-modeling.html
Centre for Studies in Behavioral Neurobiology,https://www.concordia.ca/research/molecular-modeling.html
Chemistry and Biochemistry,https://www.concordia.ca/artsci/chemistry.html
"Health, Kinesiology and Applied Physiology",https://www.concordia.ca/artsci/health-kinesiology-physiology.html
Physics,https://www.concordia.ca/artsci/physics.html
Centre for the Arts in Human Development (CAHD),https://www.concordia.ca/finearts/research-creation/cahd.html
Applied Human Sciences,https://www.concordia.ca/artsci/applied-human-sciences.html
Georges P. Vanier Library,https://library.concordia.ca/locations/vanier.php